==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=-1, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, lr=0.0003, margin=0.3, max_epoch=60, num_instances=4, optim='adam', print_freq=10, resume='', root='E:\\files\\programming\\dataset\\reid', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=60, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 0
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
  ------------------------------
  total    |  1501 |    32217
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
==> Start training
Epoch: [15][40/93]	Time 0.113 (0.264)	Data 0.038 (0.184)	Loss 5.9820 (5.1628)	
Epoch: [15][50/93]	Time 0.112 (0.234)	Data 0.038 (0.155)	Loss 4.9402 (5.1914)	
Epoch: [15][60/93]	Time 0.111 (0.213)	Data 0.036 (0.135)	Loss 5.3533 (5.2661)	
Epoch: [15][70/93]	Time 0.118 (0.199)	Data 0.042 (0.121)	Loss 5.7147 (5.3202)	
Epoch: [15][80/93]	Time 0.114 (0.188)	Data 0.037 (0.111)	Loss 5.5125 (5.3540)	
Epoch: [15][90/93]	Time 0.116 (0.180)	Data 0.039 (0.103)	Loss 5.3047 (5.3724)	
Epoch: [16][10/93]	Time 0.110 (0.744)	Data 0.036 (0.651)	Loss 5.2914 (4.7479)	
Epoch: [16][20/93]	Time 0.114 (0.433)	Data 0.040 (0.347)	Loss 5.7289 (4.7410)	
Epoch: [16][30/93]	Time 0.116 (0.327)	Data 0.038 (0.244)	Loss 5.0022 (4.8149)	
Epoch: [16][40/93]	Time 0.112 (0.274)	Data 0.035 (0.193)	Loss 5.4763 (4.9008)	
Epoch: [16][50/93]	Time 0.121 (0.243)	Data 0.041 (0.162)	Loss 5.0129 (4.9834)	
Epoch: [16][60/93]	Time 0.114 (0.222)	Data 0.039 (0.142)	Loss 5.1128 (5.0429)	
Epoch: [16][70/93]	Time 0.112 (0.206)	Data 0.038 (0.126)	Loss 5.5719 (5.0940)	
Epoch: [16][80/93]	Time 0.111 (0.194)	Data 0.035 (0.115)	Loss 5.3698 (5.1239)	
Epoch: [16][90/93]	Time 0.115 (0.185)	Data 0.036 (0.106)	Loss 6.0234 (5.1467)	
Epoch: [17][10/93]	Time 0.118 (0.732)	Data 0.040 (0.640)	Loss 4.3897 (4.3828)	
Epoch: [17][20/93]	Time 0.116 (0.424)	Data 0.039 (0.339)	Loss 4.4206 (4.4918)	
Epoch: [17][30/93]	Time 0.120 (0.321)	Data 0.041 (0.239)	Loss 5.0117 (4.6323)	
Epoch: [17][40/93]	Time 0.118 (0.270)	Data 0.039 (0.189)	Loss 5.9832 (4.7203)	
Epoch: [17][50/93]	Time 0.111 (0.239)	Data 0.036 (0.159)	Loss 4.3132 (4.7597)	
Epoch: [17][60/93]	Time 0.115 (0.218)	Data 0.037 (0.139)	Loss 4.9162 (4.8560)	
Epoch: [17][70/93]	Time 0.112 (0.203)	Data 0.038 (0.124)	Loss 4.8255 (4.9330)	
